Label,Total,Enterprise,Content,TransitAccess,EnterprisePct,ContentPct,TransitAccessPct
2015,51507,27446,2340,21721,53.285961,4.543072,42.170967
2021,71665,20942,4333,46390,29.222075,6.046187,64.731738
